Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:17:17.496000,LAT,6,0 days 00:01:26.406000,10.0,1.0,,,0 days 00:00:30.517000,0 days 00:00:31.584000,0 days 00:00:24.305000,0 days 01:16:21.630000,0 days 01:16:53.214000,0 days 01:17:17.519000,279.0,233.0,243.0,283.0,False,MEDIUM,10.0,True,Williams,0 days 01:15:51.090000,,1,18.0,,,False,True
0 days 01:18:43.794000,LAT,6,0 days 00:01:26.298000,11.0,1.0,,,0 days 00:00:30.500000,0 days 00:00:31.566000,0 days 00:00:24.232000,0 days 01:17:48.019000,0 days 01:18:19.585000,0 days 01:18:43.817000,278.0,232.0,243.0,285.0,False,MEDIUM,11.0,True,Williams,0 days 01:17:17.496000,,1,18.0,,,False,True
0 days 01:20:10.115000,LAT,6,0 days 00:01:26.321000,12.0,1.0,,,0 days 00:00:30.720000,0 days 00:00:31.313000,0 days 00:00:24.288000,0 days 01:19:14.537000,0 days 01:19:45.850000,0 days 01:20:10.138000,275.0,233.0,242.0,286.0,False,MEDIUM,12.0,True,Williams,0 days 01:18:43.794000,,1,18.0,,,False,True
0 days 01:21:36.821000,LAT,6,0 days 00:01:26.706000,13.0,1.0,,,0 days 00:00:30.648000,0 days 00:00:31.621000,0 days 00:00:24.437000,0 days 01:20:40.786000,0 days 01:21:12.407000,0 days 01:21:36.844000,276.0,230.0,244.0,287.0,False,MEDIUM,13.0,True,Williams,0 days 01:20:10.115000,,1,18.0,,,False,True
0 days 01:23:03.403000,LAT,6,0 days 00:01:26.582000,14.0,1.0,,,0 days 00:00:30.546000,0 days 00:00:31.543000,0 days 00:00:24.493000,0 days 01:22:07.390000,0 days 01:22:38.933000,0 days 01:23:03.426000,276.0,229.0,243.0,286.0,False,MEDIUM,14.0,True,Williams,0 days 01:21:36.821000,,1,17.0,,,False,True
0 days 01:24:30.077000,LAT,6,0 days 00:01:26.674000,15.0,1.0,,,0 days 00:00:30.470000,0 days 00:00:31.677000,0 days 00:00:24.527000,0 days 01:23:33.896000,0 days 01:24:05.573000,0 days 01:24:30.100000,277.0,229.0,241.0,284.0,False,MEDIUM,15.0,True,Williams,0 days 01:23:03.403000,,1,15.0,,,False,True
0 days 01:25:57.060000,LAT,6,0 days 00:01:26.983000,16.0,1.0,,,0 days 00:00:31.024000,0 days 00:00:31.520000,0 days 00:00:24.439000,0 days 01:25:01.124000,0 days 01:25:32.644000,0 days 01:25:57.083000,274.0,230.0,242.0,281.0,False,MEDIUM,16.0,True,Williams,0 days 01:24:30.077000,,1,14.0,,,False,True
0 days 01:27:23.861000,LAT,6,0 days 00:01:26.801000,17.0,1.0,,,0 days 00:00:30.607000,0 days 00:00:31.665000,0 days 00:00:24.529000,0 days 01:26:27.690000,0 days 01:26:59.355000,0 days 01:27:23.884000,277.0,229.0,240.0,284.0,False,MEDIUM,17.0,True,Williams,0 days 01:25:57.060000,,1,13.0,,,False,True
0 days 01:28:53.058000,LAT,6,0 days 00:01:29.197000,18.0,1.0,,0 days 01:28:51.363000,0 days 00:00:30.644000,0 days 00:00:31.589000,0 days 00:00:26.964000,0 days 01:27:54.528000,0 days 01:28:26.117000,0 days 01:28:53.081000,277.0,226.0,,279.0,False,MEDIUM,18.0,True,Williams,0 days 01:27:23.861000,,1,13.0,,,False,False
0 days 01:30:38.422000,LAT,6,0 days 00:01:45.364000,19.0,2.0,0 days 01:29:13.198000,,0 days 00:00:49.488000,0 days 00:00:31.651000,0 days 00:00:24.225000,0 days 01:29:42.569000,0 days 01:30:14.220000,0 days 01:30:38.445000,274.0,232.0,242.0,279.0,False,MEDIUM,1.0,True,Williams,0 days 01:28:53.058000,,1,20.0,,,False,False
0 days 01:32:03.806000,LAT,6,0 days 00:01:25.384000,20.0,2.0,,,0 days 00:00:30.179000,0 days 00:00:31.291000,0 days 00:00:23.914000,0 days 01:31:08.624000,0 days 01:31:39.915000,0 days 01:32:03.829000,276.0,236.0,243.0,282.0,True,MEDIUM,2.0,True,Williams,0 days 01:30:38.422000,,1,20.0,,,False,True
0 days 01:33:29.567000,LAT,6,0 days 00:01:25.761000,21.0,2.0,,,0 days 00:00:30.254000,0 days 00:00:31.351000,0 days 00:00:24.156000,0 days 01:32:34.083000,0 days 01:33:05.434000,0 days 01:33:29.590000,277.0,231.0,244.0,283.0,False,MEDIUM,3.0,True,Williams,0 days 01:32:03.806000,,1,20.0,,,False,True
